Substrate Index,Materials Project ID,Initial formation energy,Final formation energy,Initial area,Final area,Work of Cleavage,Surface Energy
1980,mp-753946,0.8558957499999993,0.6874277499999994,10.151128340331,10.151128340331,0.3372613255610128,0.13543868759274977 
433,mp-1070369,1.3674522000000002,1.2842732000000006,18.171787814244002,18.171787814244002,0.3762569247391606,0.176685036872558 
892,mp-28377,0.11720739999999985,0.1065445999999998,62.700149657424,62.700149657424,0.009346660306266266,0.004248179652765167 
1147,mp-1029267,1.0172370000000006,0.6689515000000004,9.611370383724001,9.611370383724001,0.42334733108302675,0.13920002523944142 
456,mp-980094,1.1317397499999995,1.0299534999999995,12.850643051064,12.850643051064,0.3522749003307798,0.16029602501716395 
4668,mp-769284,0.3027246000000005,0.3026533999999998,12.796765267144,12.796765267144,0.1182816882549425,0.0591269343622856 
2204,mp-1215219,1.647336000000001,1.4362525000000002,9.100018825016,9.100018825016,0.7241022383256903,0.3156592371109682 
2669,mp-1002570,0.5551523750000005,0.4157825000000006,19.300338037754997,19.300338037754997,0.23011094372089058,0.08617102958231174 
4316,mp-1215486,0.8563265250000001,0.84659175,15.458751789864001,15.458751789864001,0.22157714584989363,0.10952912130397147 
4474,mp-16318,1.3076187499999996,1.253883,11.76025950956,11.76025950956,0.4447584677657927,0.21324070255094446 
3117,mp-1222706,0.24908939999999974,0.166451,16.582527678589997,16.582527678589997,0.07510598047172373,0.025094334715766508 
